tweet,category
الفتره اللي فاتت خاب ظني بحاجات كتير فتركتها,Feelings of worthlessness
الله يجبر خاطري علي كلشي خاب ظني,Feelings of worthlessness
الله يعوضني شيء خاب ظني ,Feelings of worthlessness
اللهم عوض قلبي شء خاب ظني فيه,Feelings of worthlessness
اللهم عوض قلبي شي خاب ظني,Feelings of worthlessness
اللهم عوض قلبي شي خاب ظني تجمعه لاخيره ,Feelings of worthlessness
اللهم عوض قلبي شيء خاب ظني فيه,Feelings of worthlessness
اللهم عوضني خير شيء خاب ظني,Feelings of worthlessness
انا خذلت نفسي عندما راهنت نفسي علي انه مختلف,Feelings of worthlessness
انا خذلت نفسي عندما راهنت علي انهم اوفياء,Feelings of worthlessness
انا رحت تدري لاني كنت وافي و خاب ظني,Feelings of worthlessness
انا مش خاب ظني انا خاب قلبي والله,Feelings of worthlessness
انا مو خاب ظني انا خاب قلبي ,Feelings of worthlessness
انكسر داخلي احس اني خذلت نفسي وتماشيت وضع كنت ابغاه لاجل شيء معين ضحيت وصرت رهين هالوضع ,Feelings of worthlessness
اول مره احس بخذلان وما صار عندي طاقه خلاص,Feelings of worthlessness
بصرخ خاب ظني,Feelings of worthlessness
خاب ظني بالجميع,Feelings of worthlessness
خاب ظني بالكثير وبك,Feelings of worthlessness
خاب ظني بالكل,Feelings of worthlessness
خاب ظني باللي حولي كثير ,Feelings of worthlessness
خاب ظني بالڪثير واڪتشفت ان حب الذات بانانيه,Feelings of worthlessness
خاب ظني بحبوب النوم ,Feelings of worthlessness
خاب ظني بكتير ناس وقفت عليكي,Feelings of worthlessness
خاب ظني بكل شيء فيهم انا,Feelings of worthlessness
خاب ظني حييل,Feelings of worthlessness
خاب ظني خلاص,Feelings of worthlessness
خاب ظني صدقق هالمره,Feelings of worthlessness
خاب ظني قريب واسال الله العوض,Feelings of worthlessness
خاب ظني كان اسعد يومممم,Feelings of worthlessness
خاب ظني كنت اظنه,Feelings of worthlessness
خاب ظني والله,Feelings of worthlessness
خاب ظني وظني بربي ما يخيب,Feelings of worthlessness
خاب ظني وفاق القلب حر ذاق,Feelings of worthlessness
خاب ظني وكم خبت معه,Feelings of worthlessness
خاب ظني يمكن انا اكثر واحد كان طيب,Feelings of worthlessness
خذلت نفسي,Feelings of worthlessness
خذلت نفسي اليوم,Feelings of worthlessness
لقد خاب ظني بالجميع محد يستاهل الثقه ,Feelings of worthlessness
لقد خاب ظني كثيرا احسنت اليهم,Feelings of worthlessness
ماكنت اظن خاب ظني,Feelings of worthlessness
ماني راضيه عن نفسي,Feelings of worthlessness
مو راضيه عن نفسي ابدا,Feelings of worthlessness
مو راضيه عن نفسي وهذا اسوء شي,Feelings of worthlessness
والله خاب ظني صدق ,Feelings of worthlessness
والله مو راضيه عن نفسي وصلنا مرحله الهلاك,Feelings of worthlessness
وان خاب ظني اشعر اني يبكي,Feelings of worthlessness
وسيبقي هدوءي عتابي لمن خاب ظني به,Feelings of worthlessness
وكم خاب ظني بالعباد ظني بربي يخيب,Feelings of worthlessness
وكم خاب ظني وكنت اظنه مايخيب,Feelings of worthlessness
يارب خاب ظني بالكثير,Feelings of worthlessness
يارب عوضني شيء خاب ظني فيه,Feelings of worthlessness
يبقي هدوءي عتابي الوحيد لكل خاب ظني,Feelings of worthlessness
لا يخذلني احد انا خذلت نفسي توقعت منهم الافضل ,Feelings of worthlessness
انا خذلت نفسي بنفسي,Feelings of worthlessness
يوم خاب ظني بالكل عرفت ان حب النفس مو انانيه,Feelings of worthlessness
انا خذلت نفسي عندما انفقت الكثير قلبي علي المزيفين واشباه الاصدقاء,Feelings of worthlessness
,
حيل ملل,losing interest or pleasure in activities
ملل,losing interest or pleasure in activities
ملل حيل نبي اي شيء,losing interest or pleasure in activities
نعرف انه ملل ومستمرين,losing interest or pleasure in activities
طفش مافيني نوم ومحد يكلمني,losing interest or pleasure in activities
طفش وابي اسولف,losing interest or pleasure in activities
طفش طفش,losing interest or pleasure in activities
نفس الروتين ملل,losing interest or pleasure in activities
طفش,losing interest or pleasure in activities
اذا شوي طبعا عادي اذا حياتي كلها ملل,losing interest or pleasure in activities
ملل ترا,losing interest or pleasure in activities
والله طفش,losing interest or pleasure in activities
ايوه ياليت طفش,losing interest or pleasure in activities
والله كثير زيك خلاص الي متي بالبيت والله ملل يامنال,losing interest or pleasure in activities
مدري طفش,losing interest or pleasure in activities
طفش برضو,losing interest or pleasure in activities
عندك حق والله الوحده ملل,losing interest or pleasure in activities
اي والله احس طفش,losing interest or pleasure in activities
عطونا شيء نسويه طفش ياخي,losing interest or pleasure in activities
وربي ملل وقتك كله سادح مافي هدف ف حياتك كنك بهيمه تاكل وتنسدح جربت حياه العاطلين فرته ماش ماجازت,losing interest or pleasure in activities
شسوي طفش,losing interest or pleasure in activities
اي تكفيييين طفشانه بموت طفش يلا سوي شوشو داومت,losing interest or pleasure in activities
ملل,losing interest or pleasure in activities
والله ملل ماش,losing interest or pleasure in activities
تعب و زهق,losing interest or pleasure in activities
والله طفش وملل,losing interest or pleasure in activities
مافي اي متعه طفش وملل وزهق,losing interest or pleasure in activities
اخخخخ ياخي طفش صدق,losing interest or pleasure in activities
وربي طفش اليوم طويل بزياده,losing interest or pleasure in activities
ملل بشكل ان ودي اقتل شخص عشان يروح الملل,losing interest or pleasure in activities
ملل,losing interest or pleasure in activities
مره طفش,losing interest or pleasure in activities
ممل طفش سيء,losing interest or pleasure in activities
تحسين صدق طفش,losing interest or pleasure in activities
روتين ملل,losing interest or pleasure in activities
ليش ملل,losing interest or pleasure in activities
ليييه والله طفش,losing interest or pleasure in activities
والله طفش اتمني عندي دوام,losing interest or pleasure in activities
اي والله ملل,losing interest or pleasure in activities
حقيقي ملل,losing interest or pleasure in activities
اي والله ملل الصباح,losing interest or pleasure in activities
طفش نعسان,losing interest or pleasure in activities
المشكله مافيه شيء اواصل عشانه طفش,losing interest or pleasure in activities
الحين تجربين شعور ان محد يحبك وان الدنيا كلها طفش وان م عندك حياه,losing interest or pleasure in activities
مو مهتم,losing interest or pleasure in activities
زهق,losing interest or pleasure in activities
زهق واكتئاب,losing interest or pleasure in activities
اف ملل,losing interest or pleasure in activities
الا ضيقة مو طفش,losing interest or pleasure in activities
اي والله مثلك ملل,losing interest or pleasure in activities
بذات طفش ايام الدراسه,losing interest or pleasure in activities
صدق صار طفش مو مثل قبل,losing interest or pleasure in activities
ادري ملل لازم ادور اي شي,losing interest or pleasure in activities
طفش واحس بعيش ايام اخر سنه للان مو متحمسه بداوم,losing interest or pleasure in activities
صدق طفش,losing interest or pleasure in activities
موتني صار عندي ملل واني استخدمته صار اسبوع والله وهوه زمان عندي ملل,losing interest or pleasure in activities
طفش,losing interest or pleasure in activities
اصلا ملل بدونك,losing interest or pleasure in activities
اي العصر دايم ملل,losing interest or pleasure in activities
متبطحه افرفر بتويتر ساعتين وبرضو طفش,losing interest or pleasure in activities
ملل اقسم بالله,losing interest or pleasure in activities
وربي طفش,losing interest or pleasure in activities
طفش بشكل,losing interest or pleasure in activities
والله ان حياه الخريجين طفش,losing interest or pleasure in activities
مره طفش,losing interest or pleasure in activities
ملل فعلا,losing interest or pleasure in activities
كلنا فينا ملل وحزن,losing interest or pleasure in activities
حتي الشخص نفسه يلزمك اكيد م راح اوصل لذي المرحله الا وانا متبلد,losing interest or pleasure in activities
هذا فراغ مش ملل,losing interest or pleasure in activities
الجو طفش مره,losing interest or pleasure in activities
حقيقي موت الشغف ملل,losing interest or pleasure in activities
حمله انا متبلد انا اعيش حياه سعيده,losing interest or pleasure in activities
اي والله طفش خلاص بروح انام,losing interest or pleasure in activities
ادري والله ملل النوم وملل الجلوس شكلي بتامل السقف لين انام,losing interest or pleasure in activities
امس اخذنا شي والوضع طفش ليش اتعب نفسي ثاني مره,losing interest or pleasure in activities
صايره خنقه مو ملل,losing interest or pleasure in activities
زهق وتعب وحرق دم ع الفاضي اخي والله,losing interest or pleasure in activities
والله نفس الحال زهق,losing interest or pleasure in activities
ملل مش طبيعي والله,losing interest or pleasure in activities
ملل مميت,losing interest or pleasure in activities
,
ياهل التجارب والخبره محتاج وصفه تجيب النوم الجسم مني نفذ صبره منهك الامس لين اليوم ,loss of energy
الليله قضيتها متعبه شده الحزن والبكاء,loss of energy
متعبه جدا,loss of energy
صح متعبه متعبه,loss of energy
اتمني ان الوضع يكون افضل لان الوضع الحالي متعب,loss of energy
تبادل الخذلان متعب للنفس والقلب سلمت,loss of energy
الموضوع متعب نفسيا والله,loss of energy
جدا متعبه اكثر شي اي كلمه ازعل ,loss of energy
متعبه مدري وين ابدا تعب مايخلوك تنام,loss of energy
صارلي شهر احس بهالشعور يوميا شعور متعب ,loss of energy
ليه احب الناس اللي صعب احبهم وبيكون متعب,loss of energy
ليه افكر وتفكيري يكون عميق و متعب,loss of energy
ليه العلاقات البشر متعبه,loss of energy
ليه دايما ارهاق ومعافره ف حاجه,loss of energy
ليه قاعده احس الكل يتجاهلني,loss of energy
مافي شعور متعب اكثر انك تكون  ساكت وتفكر,loss of energy
متعب جدا و كثيرا و ابدا ,loss of energy
متعب قلبي,loss of energy
متعب كثيرا انا اشتهي نومه عميقه جدا ك الاموات اريد ان ارتاح ان تغفو عيناي بلا دمع وجع,loss of energy
متعب للانسان ان افكاره مسجونه,loss of energy
متعب للغايه,loss of energy
متعب مو مرهق وبس,loss of energy
متعب نفسيا شايفته بعز الظهر,loss of energy
متعب نوم العصر الله يعين للي ينام عصر يحدثالان,loss of energy
متعب هالنوع التفكير,loss of energy
متعب واقول انه تعب الطريق او تعب يوم طويل او سنين بتمضي ايام تشبهني لكنه انت انت يتعبني,loss of energy
متعب وجدا,loss of energy
متعب وجدا وكان جبال الارض يحملها صدري,loss of energy
متعبه ابي ارتاح,loss of energy
متعبه الحياه,loss of energy
متعبه الحياه حبيب رفيق دمعه وكل اه تشعل الدنيا حريق,loss of energy
متعبه الضيقه اللي تكتم القلب وتبعد النوم,loss of energy
متعبه الطريق و البشر و الاحلام و قله حيلتي و متعبه ايضا الغد يات الامس منتهي الايام و لياليها الموحشه,loss of energy
متعبه جدا واقصي استطيع حمله اسمي,loss of energy
متعبه فكره انك تكون شخص مهتم ومدقق لاصغر التفاصيل شخص مبالي,loss of energy
متعبه فكره انو التواريخ تتغير وحياتي واقفه,loss of energy
متعبه كجذع شجره تم قطعه,loss of energy
متعبه لكني ابتسم بخفه يحمل احد همي فوق همه,loss of energy
متعبه للحد ان سالني احد حالي سابكي فجبرا الله انت الغني فاغنني الدنيا ومافيها واجبر حالي,loss of energy
متعبه للحد يدفعني لاختيار اقصر كلمه اتفوه وتءدي للمعني ذاته ,loss of energy
متعبه مثقله كان الارض علي صدري,loss of energy
متعبه والحال يزداد سوء داءما,loss of energy
متعبه وكان الليل يجد مساحاته الا قلبي ليندهكامل,loss of energy
متعبه ولدت بقلب مريض وخز الالم صدري احتضنت صوره ابي احاول ان اكمل نقص عافيتي ندي,loss of energy
متعبه وڪٲن الدنيا جمعت اوجاعا لتستقر قلبي,loss of energy
متعبه يالله والارض لم تعد تسعني,loss of energy
متععب متعب انا يارب وانت المنقذ,loss of energy
متي يحدث تشين الحياه صارت متعبه دونه,loss of energy
مجرد شخص منهك انا مقيم طيله الوقت علي جرف دمعه تجيد السقوط,loss of energy
محاوله تجاوز هالايام متعبه نحتاج صديق يساعدنا عليها,loss of energy
مرحله عدم الرضي اي شي حتي نفسك متعبه ومرهقه واجد,loss of energy
مره ارهاق,loss of energy
مره الموضوع متعب اني اعيش بنفس البيت شخص صعب ونكدي,loss of energy
منهك,loss of energy
منهك الاشياء انتهتلكنها مستمره بداخلي ,loss of energy
منهك الوجود كتشبيه لغوي عجزت صياغته جيوش البلاغه ,loss of energy
منهك قلبي,loss of energy
منهك كجدار يحمل السقف علي كتفه ,loss of energy
منهك ل مرور الايام ب صعوبه كانها تمشي علي ب خطوات ثقيله,loss of energy
منهك لدرجه انني اتذوق الفرح بمراره,loss of energy
مو طبيعي الوضع متعب,loss of energy
والله مافيه شي متعب كثر تعديل النوم,loss of energy
والله متعب بشكل,loss of energy
ياخي الارق متعب ساعة من اول بالفراش للحين,loss of energy
يارب اطلع كحداني ,loss of energy
يوم اخر متعب باس ربما غدا افضل,loss of energy
يوم اقل اقول عنه متعب,loss of energy
يوم شاق متعب,loss of energy
يوم طويل جدا متعب جدا,loss of energy
يوم طويل متعب بتحس انك مش محتاج حاجه انك تتاخد بالحضن ويتقالك هانت ,loss of energy
يوم طويل و متعب,loss of energy
يوم طويل و متعب و غريب و الاحداث اللي غريبه خلصت كميه صبري لهذا الاسبوع يارب انام و اصحي يطلع بكره الجمعه ,loss of energy
يوم طويييييل و متعب,loss of energy
يوم متعب بشكل,loss of energy
يوم متعب بشكل مو طبيعي,loss of energy
يوم متعب بكل تفاصيله,loss of energy
يوم متعب بكل تفاصيله حرفيا,loss of energy
يوم متعب بكل م تحمله المعاني كلمه ,loss of energy
يوم متعب بمعني الكلمه,loss of energy
يوم متعب جدا حلو,loss of energy
يوم متعب جدا و وراي مسكت خط الطاقه صفررر,loss of energy
يوم متعب جداا جدا,loss of energy
يوم متعب فعلا,loss of energy
يوم متعب كثيرا,loss of energy
يوم متعب مره,loss of energy
يوم متعب منسف غيبوبه,loss of energy
يوم متعب نمت يوم كامل,loss of energy
يوم متعب و مداوم سهرانن و الحين بنام,loss of energy
يوم متعب و مقفول اوله,loss of energy
يوم متعب وسيء,loss of energy
يوم متعب وثقيل,loss of energy
يوم متعب وصهد,loss of energy
يوم متعب وليله بائسه,loss of energy
يوم متعب ومزال م كمل,loss of energy
يوم متعب ومستنزف للطاقه,loss of energy
يوم متعب ومقرف,loss of energy
يا ويلي متعبه مره,loss of energy
حساسه بشكل طفولي و متعب,loss of energy
یارب طمن شخص خايف وريح قلب شخص متعب,loss of energy
‌يا خالق الروح ان الروح متعبه,loss of energy
اه تنهيدة متعبة,loss of energy
,
 معقول الناس منزعجه مني ,low mood
 مفيها شي ضيقه الخلق صعبه,low mood
ياما كذبنا وقلنا بخير وفي خاطرنا الف ضيقه,low mood
ودي اشارك ضايقه فيني,low mood
متشائمه,low mood
ضايقه فيني,low mood
والله انا احس بضيق بقلبي بدون سبب وكذا فجاه,low mood
ضيقه,low mood
يالله وقسم ضيقه,low mood
انا وقتها كنت منزعجه من كلامهم عشان كدا,low mood
احس بضيقه,low mood
انا حزين ووزني قاعد يزيد,low mood
عشان انا تعيسه اليوم,low mood
اي والله شعوري فتره طويله لدرجه اني امثل الامل وانا اشعر بالياس,low mood
جتني ضيقه الكلام,low mood
انا حزين حزين جدا,low mood
صدق مامزح ترا شايل هموم الدنيا فوق راسي,low mood
ضايقه علي الدنيا حبتين,low mood
قسم ضايق صدري,low mood
انا حزين عليهم,low mood
انا تعبت اقسم بالله انا حزينة جداً,low mood
حياتي حياتي بائسة,low mood
انا حزين,low mood
اخ انا حزين جدا ,low mood
اكره هالوقت اكره ضيقه خلق الي تجي معه,low mood
ااه انا حزين جدا,low mood
ابدو حزينه الليله بشكل مفرط,low mood
ابي اعرف وش شعور الدنيا وهي ضايقه فيني,low mood
ابي شي يضبطه ضايقه فيني اشياء,low mood
اتمني اموت,low mood
اتمني شي يتحقق ببساطه انا فقيره حظ انا تعيسه و حزينه شعور ما تتمني تعيشه,low mood
احس الدنيا كلها ضايقه فيني,low mood
احس الكون كله ضايق فيني,low mood
احس انو ضايق صدري كثر مو ضايق ماني قادره انام وعقلي فكره لفكره لفكره لفكره ,low mood
احس اني جدا حزينه,low mood
احس اني حزينه,low mood
احس اني شايله هموم اشياء كثيره ماعرف ايش,low mood
احس اني شايله هموم الامه العربيه والاسلاميه كلها والسبب مجهول,low mood
احس اني شايله هموم الدنيا ,low mood
احس اني شايله هموم الدنيا ابك مقدرت انام,low mood
احس اني شايله هموم الدنيا كلها علي ظهري,low mood
احس ببكي اليوم مره ضايق علي الف,low mood
احس بضيق ,low mood
احس بضيق احسني ابغا ابكي شوي,low mood
احس بضيق اعوذ بالله قلبي بينفجر بروح انام افضل,low mood
احس بضيق الدنيا كلها فيني,low mood
احس بضيق الدنيا كلها قلبي,low mood
احس بضيق الدنيا كلها ومافي شي قادر يخفف علي هالشعور السيء,low mood
احس بضيق العالم كله بقلبي,low mood
احس بضيق لدرجه ودي ابكي,low mood
احس بضيق مدري وش,low mood
احس بضيق مو طبيعي,low mood
احس بضيق وشعور غريب ,low mood
احس بضيق وكنت ابي اسهر عشان بكرا يوم مليان شغلات,low mood
احس بضيق وملل وخوف,low mood
احس بضيقه الارض,low mood
احس بضيقه الدنيا بقلبي,low mood
احس بضيقه الدنيا كلها بقلبي,low mood
احس بضيقه اللي اقول انا يالله وش سويت,low mood
احس بضيقه بخنقه ودي ابكي,low mood
احس بضيقه بداخل صدري وقلبي يوجعني,low mood
احس بضيقه بدون سبب,low mood
احس بضيقه بصدري لدرجه احس اليوم بدون مااقوم,low mood
احس بضيقه بصدري ومره توجعني,low mood
احس بضيقه بصدري ومره توجعني يارب صبرني,low mood
احس بضيقه تكه و تخنقنيييي,low mood
احس بضيقه توصف مدري ايش اي شي نفسيتي زفت,low mood
احس بضيقه حتي مو متحمسه لشيء واحس وحشني كون دحين ,low mood
احس بضيقه خلق مجهول المصدر,low mood
احس بضيقه صدر الله يعلم السبب,low mood
احس بضيقه صدر وشعور ما احبه مره,low mood
احس بضيقه صدر ما يعلمه الا ربي,low mood
احس بضيقه غريبه,low mood
احس بضيقه فصدري كان الدنيا كلها فوق قلبي,low mood
احس بضيقه قاعده اختنق,low mood
احس بضيقه قاعده تحرق قلبي كثر ماهي توجع ,low mood
احس بضيقه قويه,low mood
احس بضيقه لدرجه مو قادر انام ,low mood
احس بضيقه لكني اتجاهلها,low mood
احس بضيقه لهذا السبب اكره الليل,low mood
احس بضيقه مايعلمها ربي يارب يشرح صدري,low mood
احس بضيقه مب طبيعيه ومحد حاس ف ضروفي فيني واحس يارب يعدي شي,low mood
احس بضيقه مدري ليه,low mood
احس بضيقه مضيقه خويطري,low mood
احس بضيقه معقوله عشاني سهرانه امس,low mood
احس بضيقه مو طبيعيه,low mood
احس بضيقه مو قادره,low mood
احس بضيقه هاليومين مو طبيعيه حتي اهلي ملاحظين هدوءي و بعدي الناس والسوالف والضحك,low mood
احس بضيقه و بكتمه,low mood
احس بضيقه و كابه,low mood
احس بضيقه وخاطري ابككيي,low mood
احس حتي ماقدر اتنفس كثر انا حزينه حسبي الله ونعم الوكيل,low mood
احس روحي ثقيله علي وكاني شايله هموم البشر,low mood
احس شي ضايق فيني والله شي ضايق,low mood
احس صدق م صرت ارتاح بنومي شهرين او اكثر تقريبا كلها احلام نفس الشخص صرت اقوم النوم احس بضيق تنفس,low mood
احس ضايق صدري,low mood
احس ضايق صدري و حزين,low mood
احس ضايق صدري وموب ضايق مدري افهم,low mood
احس قلبي شايل هموم الدنيا كلها,low mood
احس قلبي شايل هموم الدنيا كلها فوقه,low mood
احسني حزين ,low mood
احسني شايله هموم الدنيا كلها,low mood
اخ احس بضيقه مستوطنه قلبي,low mood
اخ ضايق صدري,low mood
اف اشعر بالضيقه يسمعنا الوقت,low mood
اف اف قاعده احس بضيقه مو طبيعيه,low mood
اف شايله هموم مو,low mood
اف ضايق صدري الحلم زي الواقع,low mood
اف ضايق صدري صدق ابغي ابكي لين شي يطلع وارتاح,low mood
,
ابموه ظهري وفيني خمول ياربي,Psychomotor agitation or retardation
ابي اذاكر خمول ومصدعه وفيني نوم وانا تو صحيت,Psychomotor agitation or retardation
ابي ارتب غرفتي وبالذات درج تسريحتي ان خمول هالايام يلعب ,Psychomotor agitation or retardation
ابي ازين اظافري مالي خلق بسبب كسل,Psychomotor agitation or retardation
ابي اشوف انمي احس كسل و مشوار ادخل الموقع,Psychomotor agitation or retardation
ابي اطلع ملابسي شنطه السفر مو قادره فيني كسل,Psychomotor agitation or retardation
ابي افطر فيني كسل المطبخ بعيد,Psychomotor agitation or retardation
ابي الون او ارسم اي شي فيني كسل مب طبيعي,Psychomotor agitation or retardation
ابي انام واصحي واحصل حماسي رجع يكفي اسبوع كسل,Psychomotor agitation or retardation
اتخيل انام اكثر 10 ساعات تخيلوا اصحي النوم ويصير فيني خمول دبل وباقي فيني النوم ماشبعت علي الرغم الوقت كله يازين النوم القليل,Psychomotor agitation or retardation
احتاج قهوه تزيح عني خمول الصباح وملل الدوام ورتابه الحياه و روتينيه الاقدار,Psychomotor agitation or retardation
احس ان فيني خمول وتعب مبسوطه,Psychomotor agitation or retardation
احس ب خمول شربت قهوه لذيذه باقي للحينه الخمول ,Psychomotor agitation or retardation
احس ب خمول وكسل مو طبيعي ودي انام حتي,Psychomotor agitation or retardation
احس بالم مو طبيعي فيدي خمول صداع بروده الله يستر تاليها ,Psychomotor agitation or retardation
احس بخمول,Psychomotor agitation or retardation
احس بخمول شسوي,Psychomotor agitation or retardation
احس بخمول قوي,Psychomotor agitation or retardation
احس بخمول مو طبيعي ,Psychomotor agitation or retardation
احس بخمول وبردانه طول الوقت ودي افارق بطانيتي وسريري دقيقه,Psychomotor agitation or retardation
احس بخمول وكسل فضيع ان قمت المغرب,Psychomotor agitation or retardation
احس بخمول وكسل و ماودي اشتغل,Psychomotor agitation or retardation
احس بخمول وماودي انام شلون اصمل لين الليل ,Psychomotor agitation or retardation
احس بكسل لدرجه اني مابي افكر بشي يطير الكسل ,Psychomotor agitation or retardation
احس بكميه خمول و ارهاق و تعب مو طبيعيه,Psychomotor agitation or retardation
احس جاني كسل والله مالي خلق اتعب,Psychomotor agitation or retardation
احس خمول,Psychomotor agitation or retardation
احس خمول الدنيا كله فيني,Psychomotor agitation or retardation
احس خمول و تعب وييعع شنو,Psychomotor agitation or retardation
احس فيني خمول الحياه ,Psychomotor agitation or retardation
احس فيني خمول مو طبيعي مدري تعب وبدايه مرض قله نوم,Psychomotor agitation or retardation
احس فيني كسل بشششكل ,Psychomotor agitation or retardation
احس فيني كسل و نوم و مالي خلق اسمع محاضرات,Psychomotor agitation or retardation
احس ودي اسوي كثير اشياء ارجع الدوام يطقني كسل وخمول,Psychomotor agitation or retardation
احس ودي اطق احد او اكسر شيء فيني غضب داخلي اقدر افرغه بالكتابه الجدال بنفس الوقت فيني خمول وعجزه ومصخنه كلهم ,Psychomotor agitation or retardation
احسس ماادري جاني خمول ومالي خلق شي يعني شششلون افكر بالموضوع وانا ماابي الحين,Psychomotor agitation or retardation
احسني وايد شبعانه نوم الايام اللي فاتت خمول اليوم الحمدالله شبعانه نوم,Psychomotor agitation or retardation
احلي كسل يواجهه الانسان كسل رد الفعل,Psychomotor agitation or retardation
احيانا يجيني كسل بالاستيعاب يعني اسمع الي قدامي ومالي خلق افهمه,Psychomotor agitation or retardation
اخوان تعرفون علاج فاتح للشهيه يسبب خمول عاد اكل الا وجبه وحده اليوم ووزني نازل والحبوب اللي عندي تسبب نوم وخمول ,Psychomotor agitation or retardation
ادري العله فيني والا الدوام صاير فيني خمول ارجع الين انام الليل خلق اطلع او اسوي اي شي ,Psychomotor agitation or retardation
ادري اللي قاعده احسه كسل او برود او عدم الشغف ,Psychomotor agitation or retardation
ارق طول اليوم خمول حل وسط مافي يتعب الشي دا ,Psychomotor agitation or retardation
ارق فقدان شهيه هبوط بالوزن خمول كسل ياربي تعدي هالايام علي خير,Psychomotor agitation or retardation
ارق كوابيس نوم متقطع صداع تعب خمول,Psychomotor agitation or retardation
ارق نوم خمول ماني عارفه الصراحه,Psychomotor agitation or retardation
ارق و ارهاق ونقص نوم وخمول و كسل و نيه طايره,Psychomotor agitation or retardation
اسبوع فيني خمول,Psychomotor agitation or retardation
اسبوع كامل تقريبا خمول ونوم فقط نوم ,Psychomotor agitation or retardation
اغلب يومي صاير نوم و اذا صحيت خمول طول الوقت ,Psychomotor agitation or retardation
اف تاثير اللقاح لاعب فيني خمول وتعب وسخونه ورجفهه دعواتكم ,Psychomotor agitation or retardation
اف تعب خمول مالي خلق اتحرك,Psychomotor agitation or retardation
اف تعب وارهاق احس مو قادره اتحرك اني صاحيه العصر خمول بروح اشرب قهوه يارب اصحصح واتنشط,Psychomotor agitation or retardation
اف خمول ليتني قمت,Psychomotor agitation or retardation
اف راسي اكره صداع و خمول العصر,Psychomotor agitation or retardation
اف وعع خمول وصداع م ينتهون,Psychomotor agitation or retardation
اقسم بالله خمول مو طبيعي مدري بتحمل لنهايه السنه احتاج تجديد طاقه,Psychomotor agitation or retardation
اقسم بالله خمول وصداع صبح الله يوم اول يوم ,Psychomotor agitation or retardation
اقسم بالله فيني خمول مو طبيعي,Psychomotor agitation or retardation
الايام دي كميه خمول وانجذاب للنوم مش معقول,Psychomotor agitation or retardation
الايام صاير فيني خمول مو طبيعي,Psychomotor agitation or retardation
الايام فيني كسل مو طبيعي صايره اجاهد نفسي جهاد حتي اخلص اشغالي,Psychomotor agitation or retardation
الايام فيني كميه نوم و كسل و خمول مش طبيعيه,Psychomotor agitation or retardation
كسل وصل لدرجه اني بقيت بكسل اتصور حتي,Psychomotor agitation or retardation
كسل وطفش,Psychomotor agitation or retardation
كسل وملل,Psychomotor agitation or retardation
كسل ياخي,Psychomotor agitation or retardation
كميه تعب و خمول فظيعه,Psychomotor agitation or retardation
كميه خمول ارهقتني ماني عارف السبب ,Psychomotor agitation or retardation
كميه خمول اليوم غريبه جدا,Psychomotor agitation or retardation
كميه خمول اليوم مش طبيعيه,Psychomotor agitation or retardation
كميه خمول اوزعها عليكم كفتكم,Psychomotor agitation or retardation
كميه خمول توزع علي بلد كفته,Psychomotor agitation or retardation
كميه خمول ما توصف,Psychomotor agitation or retardation
كميه خمول علي بطء استيعاب ,Psychomotor agitation or retardation
كميه خمول مرهقه ,Psychomotor agitation or retardation
كميه خمول مش طبيعيه والله,Psychomotor agitation or retardation
كميه خمول مو طبيعي وش السالفه,Psychomotor agitation or retardation
كميه خمول مو طبيعيه,Psychomotor agitation or retardation
كميه خمول مي طبيعيه اعوذ بالله,Psychomotor agitation or retardation
كميه خمول وشعور التعب الا بدون شي زايد اليوم,Psychomotor agitation or retardation
كميه خمول وفراغ طبيعيه المفروض الشخص الدوام يتحمس ويتنظم للاسف ,Psychomotor agitation or retardation
كميه خمول وكسل طبيعي الواحد حاسي روحو باندا,Psychomotor agitation or retardation
كميه خمول وكسل موب طبيعيه,Psychomotor agitation or retardation
كميه خمول ومفيش طاقه لاي حاجه وربناا,Psychomotor agitation or retardation
كميه كسل اليوم مو طبيعيه,Psychomotor agitation or retardation
كميه كسل رهيبه,Psychomotor agitation or retardation
كميه كسل طبيعيه,Psychomotor agitation or retardation
كميه كسل مو طبيعيه,Psychomotor agitation or retardation
كميه كسل و برود مش طبيعيه والله,Psychomotor agitation or retardation
كميه كسل و خمول و انعدام طاقه فوق الخيال,Psychomotor agitation or retardation
كميه كسل وخمول فضيع يوم ينقال حاجه اسويها,Psychomotor agitation or retardation
ماشالله كسل بكل شي مالي خلق,Psychomotor agitation or retardation
هالاسبوع خمول مو طبيعي,Psychomotor agitation or retardation
هالاسبوع كله خمول و عجز,Psychomotor agitation or retardation
هالايام انام وانام وانام وباقي الوقت ابحث طرق تخفف كسل ,Psychomotor agitation or retardation
هالايام خمول اربع وعشرين ساعه,Psychomotor agitation or retardation
هالايام صايره اتنفس خمول بدال الهوا موطبيعي كلشي مالي خلق,Psychomotor agitation or retardation
هالفتره احس بخمول ونعاس مو طبيعي علي مانام ماشبع نوم يع,Psychomotor agitation or retardation
هالفتره احسها فتره اسمها خمول وتبلد وعدم احساس ضمير ,Psychomotor agitation or retardation
هالفتره خمول مو طبيعي,Psychomotor agitation or retardation
هالفتره صايبني خمول بدرجه عاليه جدا,Psychomotor agitation or retardation
هالفتره صايدني خمول مب طبيعي احس ابي اتم نايمه للابد,Psychomotor agitation or retardation
